Name,Plx,Teff,angDia,model,store,RA,DEC
TIC100990000,15.8999,6169,0.1656,ck04,n,54.819538,-42.7630276
TIC101011575,31.6501,4511,0.1913,ck04,n,129.6883026,-13.2565267
TIC101955023,79.2543,3270,0.1548,nextgen,n,153.7090696,-47.1549358
TIC102264230,3.74964,5565,0.0405,ck04,n,331.203092,-12.019067
TIC102840239,16.7183,4869,0.1197,ck04,n,155.8719377,-43.8349248
TIC103633434,25.2016,3997,0.1453,ck04,n,152.2182549,69.2766204
TIC106402532,13.2674,5585,0.1172,ck04,n,159.4093183,-40.888259
TIC110999033,3.84563,4667,0.0247,ck04,n,188.8935189,-10.0692793
TIC113979956,9.01663,3537,0.0218,nextgen,n,54.7514566,19.1199667
TIC116483514,30.7613,4266,0.1888,ck04,n,232.946047,47.0555507
TIC118327550,45.3562,3433,0.1814,nextgen,n,10.5697537,-36.7179743
TIC120042828,0.687467,6010,0.0074,ck04,n,283.9424274,41.4715535
TIC120043084,2.48732,4597,0.0162,ck04,n,283.8994187,41.221594
TIC120044687,3.4344,3750,0.0163,ck04,n,283.8664285,39.8981928
TIC120103325,3.14405,4623,0.0181,ck04,n,284.0323723,39.7815365
TIC120103486,3.01994,5661,0.0284,ck04,n,283.995085,39.9170121
TIC120105003,2.92682,5431,0.0231,ck04,n,284.0945699,41.1828131
TIC120105470,3.12223,5445,0.0244,ck04,n,284.0566675,41.5767277
TIC120105569,3.1983,5097,0.0232,ck04,n,283.986348,41.6505091
TIC120251654,0.937926,6047,0.0099,ck04,n,284.3284866,40.5688741
TIC120252007,1.06088,4965,0.007,ck04,n,284.3510523,40.8529319
TIC120252452,1.47291,5678,0.0129,ck04,n,284.4099503,41.2374928
TIC120253552,0.967127,6202,0.0116,ck04,n,284.5656897,41.7784781
TIC120253745,1.32514,5679,0.0127,ck04,n,284.5211975,41.6296562
TIC120254625,3.48291,4201,0.0198,ck04,n,284.4784454,40.9331723
TIC120314731,1.07562,5687,0.0178,ck04,n,284.7068546,38.9367566
TIC120315006,1.61178,5206,0.012,ck04,n,284.6157154,39.130998
TIC120315151,0.691059,5643,0.0062,ck04,n,284.5825682,39.2201737
TIC120317234,4.3488,6236,0.0481,ck04,n,284.6351885,40.7198296
TIC120317833,1.42599,4895,0.0098,ck04,n,284.6062174,41.196344
TIC120355363,1.2539,6079,0.0134,ck04,n,284.8601128,39.2405076
TIC120418600,7.41656,3687,0.0345,ck04,n,285.0131082,40.2209547
TIC120420344,0.90334,6166,0.0101,ck04,n,284.9780251,41.4202077
TIC120420633,0.980073,5382,0.0085,ck04,n,284.9194213,41.6172093
TIC120421638,2.11896,4070,0.0118,ck04,n,285.0648845,41.5548464
TIC120422519,4.48309,3867,0.0229,ck04,n,285.0865387,40.8990506
TIC120424814,1.47187,6260,0.0174,ck04,n,285.146622,39.3708055
TIC120425617,1.77176,4601,0.0114,ck04,n,285.1197266,38.8664618
TIC120495446,1.42737,5812,0.0165,ck04,n,285.347162,41.761845
TIC120498491,1.01648,6186,0.0145,ck04,n,285.4195845,39.7061009
TIC120571842,1.56294,5777,0.0148,ck04,n,285.5739904,38.4008192
TIC120572779,0.998927,5894,0.0097,ck04,n,285.516872,38.9324587
TIC120573482,1.59853,5191,0.0119,ck04,n,285.6173937,39.3794684
TIC120576846,4.5982709,6106,0.059,ck04,n,285.4764959,41.6326615
TIC120577770,1.4003796,6132,0.0168,ck04,n,285.7135,41.6058799
TIC120578185,1.77633,4648,0.0111,ck04,n,285.7515347,41.3356739
TIC120578688,5.23884,4353,0.0292,ck04,n,285.6899312,40.9946659
TIC120578712,4.40862,3578,0.0176,nextgen,n,285.7396971,40.9798688
TIC120578889,0.518186,5705,0.0045,ck04,n,285.7207618,40.8569116
TIC120627712,0.559563,6299,0.0069,ck04,n,285.7520229,39.2491731
TIC120629799,2.82589,5539,0.0292,ck04,n,285.6616933,37.9645672
TIC120638033,1.72244,5381,0.0152,ck04,n,285.8537014,38.3840916
TIC120686458,0.7802,5761,0.0072,ck04,n,285.7972604,40.9361923
TIC120686620,1.76184,5127,0.0129,ck04,n,285.9115968,41.0695091
TIC120688631,0.969463,6228,0.0194,ck04,n,285.9687099,41.3635264
TIC120689253,2.43105,4997,0.0172,ck04,n,285.9999204,40.9193822
TIC120691237,1.02789,5797,0.0095,ck04,n,286.0252285,39.6309204
TIC120692092,1.48896,5392,0.0151,ck04,n,285.9307362,39.0981201
TIC120693914,1.12699,5251,0.0082,ck04,n,286.0067312,38.0095407
TIC120762000,0.683821,5609,0.0058,ck04,n,286.1501263,37.4113438
TIC120762990,1.49916,5198,0.0112,ck04,n,286.1154093,37.9669464
TIC120763491,1.43924,6183,0.0174,ck04,n,286.2232284,38.2581676
TIC120765183,2.30818,4255,0.0118,ck04,n,286.0790779,39.278237
TIC120765800,1.93016,5311,0.0126,ck04,n,286.1621273,39.6780204
TIC120819731,0.760108,6000,0.008,ck04,n,286.2543962,41.0218373
TIC120821730,0.931191,5401,0.0068,ck04,n,286.3300783,39.6831276
TIC120825510,1.17358,6143,0.0134,ck04,n,286.3442954,37.4119347
TIC120891972,1.04616,5598,0.009,ck04,n,286.4904589,38.374872
TIC120892579,1.49317,5818,0.0229,ck04,n,286.4023452,38.7385674
TIC120896927,22.2848,5125,0.1783,ck04,n,36.8678846,-27.6361171
TIC120899945,1.63773,5020,0.0129,ck04,n,286.5656932,41.8084168
TIC120960812,4.08224,6103,0.0501,ck04,n,286.6383905,39.4879038
TIC120961424,0.995143,5946,0.0156,ck04,n,286.5831894,39.0772582
TIC120962548,2.6868816,5178,0.02,ck04,n,286.5580128,38.4052418
TIC120963454,3.42133,3658,0.0108,ck04,n,286.5942529,37.8912836
TIC120964116,1.75853,6155,0.02,ck04,n,286.6257591,37.537313
TIC120973167,4.66028,6148,0.0446,ck04,n,286.6895986,39.2120802
TIC121020728,1.39356,5208,0.0104,ck04,n,286.9171489,38.8722123
TIC121021644,0.951686,5975,0.0096,ck04,n,286.8919996,38.3185034
TIC121022533,1.14235,5710,0.0101,ck04,n,286.9638856,37.8296147
TIC121085785,1.50566,5170,0.0113,ck04,n,287.0940046,39.0607801
TIC121108727,3.54165,5009,0.026,ck04,n,287.051694,40.2114232
TIC121112251,2.9308,5842,0.024,ck04,n,287.090019,41.3737576
TIC121113728,1.57451,5747,0.0139,ck04,n,287.0664109,41.8749712
TIC121114760,1.34537,5071,0.0098,ck04,n,287.2726117,41.6356009
TIC121123361,4.4797,4671,0.0279,ck04,n,287.2187273,38.8625366
TIC121123737,0.839467,5828,0.0079,ck04,n,287.2356828,38.7540824
TIC121214078,2.11608,5809,0.027,ck04,n,287.3629145,38.6497341
TIC121214185,9.18591,6305,0.1623,ck04,n,287.3619673,38.7141384
TIC121214909,1.1944,5475,0.0121,ck04,n,287.3078999,39.1447097
TIC121215172,1.77266,5053,0.0127,ck04,n,287.302772,39.2896399
TIC121215333,0.950059,5530,0.0079,ck04,n,287.2924737,39.3832039
TIC121275496,2.28804,5183,0.0168,ck04,n,287.5296372,38.8945065
TIC121276638,4.3027,5687,0.0428,ck04,n,287.4786474,38.2290751
TIC121276933,0.688804,5906,0.0067,ck04,n,287.4441104,38.0884183
TIC121327187,2.56086,5746,0.0336,ck04,n,287.6550196,39.2441716
TIC121329580,1.5543,5190,0.013,ck04,n,287.7069031,40.6852161
TIC121333305,1.60837,4380,0.0079,ck04,n,287.8264561,40.6965988
TIC121333541,1.8285,6188,0.0206,ck04,n,287.8570173,40.5471909
TIC121458206,0.931192,6012,0.0127,ck04,n,287.9757213,39.087168
